,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_rolloff,energy,label
christine,-568.1720581054688,75.39910888671875,4.6781768798828125,25.612728118896484,-0.7857633829116821,8.703190803527832,-0.02403189428150654,2.5314602851867676,-0.15229646861553192,-3.0115842819213867,0.568490743637085,-1.92642343044281,1.093404769897461,4105.259683098591,0.00045924480486841745,christine
christineaudio2,-589.5851440429688,88.14888000488281,-2.966655969619751,28.14312744140625,-0.21765649318695068,5.911494731903076,5.189301490783691,0.19705067574977875,-0.07297678291797638,2.120563268661499,1.6464111804962158,-0.7982345819473267,-1.0721575021743774,3724.294146369485,0.0002099263279604187,christineaudio2
Irene2.dat,-630.0891723632812,85.61245727539062,16.67986297607422,14.22803783416748,-13.966575622558594,18.611501693725586,-5.891133785247803,3.6495983600616455,-0.8489182591438293,-5.347888946533203,-4.398877143859863,1.8801114559173584,-4.743687152862549,5502.201511548913,7.705399142062351e-06,Irene2.dat
ireneeo,-510.2438659667969,110.964599609375,35.722190856933594,32.52922058105469,13.717528343200684,9.849091529846191,-16.20630645751953,5.217221736907959,-11.019571304321289,-0.29651978611946106,-5.209985256195068,-4.935871601104736,-4.4973368644714355,2780.644258085664,0.000395563468421587,ireneeo
jollyy.waptt,-317.3203125,120.4298324584961,8.912469863891602,18.26189613342285,13.33227252960205,9.698285102844238,-14.0527982711792,11.359018325805664,4.477939128875732,-3.727508306503296,0.01871831901371479,8.774625778198242,0.13821710646152496,2678.407470703125,0.01401557807951527,jollyy.waptt
jollyy2waptt,-351.43023681640625,122.84333038330078,1.1950452327728271,24.300880432128906,1.3258163928985596,15.900890350341797,-13.071571350097656,16.228891372680664,2.3503551483154297,2.3786709308624268,4.296380519866943,5.005043983459473,0.7950842976570129,3017.340087890625,0.004618592505274454,jollyy2waptt
loic.dat,-431.077880859375,53.01858901977539,26.647310256958008,21.676898956298828,21.564054489135742,6.6524858474731445,-3.5063633918762207,9.003747940063477,-0.8894877433776855,-3.2970314025878906,0.6743401885032654,7.543852806091309,-0.29659298062324524,7191.523180509868,0.000498912833009183,loic.dat
loic3,-410.462158203125,102.92671203613281,35.03071212768555,6.292801380157471,15.046334266662598,0.8194029331207275,2.913691282272339,8.56685733795166,-3.338649034500122,1.424283742904663,5.8538665771484375,9.435880661010742,2.8817687034606934,5072.335994944853,0.0008858904410816,loic3
roxane,-552.8579711914062,58.427467346191406,-11.170084953308105,36.1731071472168,-2.9450948238372803,15.047372817993164,-6.5496602058410645,3.237255573272705,-4.137487888336182,0.9044472575187683,0.03964303061366081,3.3353395462036133,0.5383086800575256,5297.942038143382,0.00011370356275024462,roxane
roxane2,-528.4959106445312,63.313758850097656,-5.202044486999512,34.40895080566406,-0.04347316175699234,3.150665044784546,-11.636704444885254,-1.3591195344924927,-5.292581558227539,2.246933698654175,0.11365809291601181,-2.2812306880950928,0.6209285855293274,4576.580859375,0.00041852015760796094,roxane2
